Bandit,Reward,Algorithm
2.0,4.639572282613868,ThompsonSampling
2.0,1.3963938762066475,ThompsonSampling
2.0,2.926134184633598,ThompsonSampling
2.0,2.7550217859996855,ThompsonSampling
2.0,2.6063000651888797,ThompsonSampling
2.0,2.310556222441217,ThompsonSampling
2.0,1.1072545192173926,ThompsonSampling
2.0,3.1068293615342037,ThompsonSampling
2.0,3.9510774798329833,ThompsonSampling
2.0,2.6057107397869617,ThompsonSampling
2.0,2.066514737451371,ThompsonSampling
2.0,2.7688851251364985,ThompsonSampling
2.0,2.3312612986047787,ThompsonSampling
2.0,2.0022730536597697,ThompsonSampling
2.0,2.9583611946149238,ThompsonSampling
2.0,3.2130021002819484,ThompsonSampling
2.0,2.6966631845424947,ThompsonSampling
2.0,1.8102654458616874,ThompsonSampling
2.0,1.7295752257843036,ThompsonSampling
2.0,3.1583952697134636,ThompsonSampling
2.0,2.0997594826279844,ThompsonSampling
2.0,4.199608282189523,ThompsonSampling
2.0,2.949901716415376,ThompsonSampling
2.0,2.3048990673919767,ThompsonSampling
2.0,3.6998887652723074,ThompsonSampling
2.0,3.4822381593915073,ThompsonSampling
2.0,1.6717501921275022,ThompsonSampling
2.0,4.840369708434156,ThompsonSampling
2.0,3.2357694100665118,ThompsonSampling
2.0,2.6481479034610103,ThompsonSampling
2.0,2.911682788100895,ThompsonSampling
2.0,3.4099495349348716,ThompsonSampling
2.0,0.9328406054020411,ThompsonSampling
2.0,2.068610343006526,ThompsonSampling
2.0,4.220945764278759,ThompsonSampling
2.0,2.840081438805353,ThompsonSampling
2.0,3.2065836754214367,ThompsonSampling
2.0,5.063514461062444,ThompsonSampling
2.0,2.317661633077403,ThompsonSampling
2.0,3.000222007727891,ThompsonSampling
2.0,1.6387521597092025,ThompsonSampling
2.0,2.4932146397933757,ThompsonSampling
2.0,4.055855706709486,ThompsonSampling
2.0,3.524247513672007,ThompsonSampling
2.0,2.3645440300390757,ThompsonSampling
2.0,2.1940980112868624,ThompsonSampling
2.0,2.136374071087378,ThompsonSampling
2.0,3.077427947574479,ThompsonSampling
2.0,2.444281740994147,ThompsonSampling
2.0,3.642688277875547,ThompsonSampling
2.0,2.2789844020521763,ThompsonSampling
2.0,2.886492181675144,ThompsonSampling
2.0,2.5001413156709225,ThompsonSampling
2.0,2.6339412919434726,ThompsonSampling
2.0,2.706445818580278,ThompsonSampling
2.0,2.3319362131805477,ThompsonSampling
2.0,3.716614828221657,ThompsonSampling
2.0,2.840033011518983,ThompsonSampling
2.0,2.0251231858192824,ThompsonSampling
2.0,3.948290506331239,ThompsonSampling
2.0,3.0437799411104747,ThompsonSampling
2.0,3.274876188729196,ThompsonSampling
2.0,2.125908403464982,ThompsonSampling
2.0,2.0948517218283205,ThompsonSampling
2.0,1.4280426853124837,ThompsonSampling
2.0,3.895146283685747,ThompsonSampling
2.0,2.361688830716954,ThompsonSampling
2.0,5.465497136753406,ThompsonSampling
2.0,2.482964036549903,ThompsonSampling
2.0,2.343233561686341,ThompsonSampling
2.0,3.3795411190884965,ThompsonSampling
2.0,1.1689896589446718,ThompsonSampling
2.0,1.1336082886999257,ThompsonSampling
2.0,2.7541202642875167,ThompsonSampling
2.0,2.101454225964642,ThompsonSampling
2.0,3.307595858078924,ThompsonSampling
2.0,3.8047366649287495,ThompsonSampling
2.0,3.997834840596956,ThompsonSampling
2.0,3.5382308695148756,ThompsonSampling
2.0,2.421797851803439,ThompsonSampling
2.0,1.3962054863403202,ThompsonSampling
2.0,1.3812151975183697,ThompsonSampling
2.0,3.2984820927409326,ThompsonSampling
2.0,2.0490142933563664,ThompsonSampling
2.0,5.012444006125482,ThompsonSampling
2.0,1.9994898311731863,ThompsonSampling
2.0,3.2008491816344766,ThompsonSampling
2.0,2.6642767080307364,ThompsonSampling
2.0,2.4555584648090045,ThompsonSampling
2.0,3.3633321754475776,ThompsonSampling
2.0,3.3992768046557753,ThompsonSampling
2.0,1.7493569664371922,ThompsonSampling
2.0,3.68583574775723,ThompsonSampling
2.0,2.1907047298218214,ThompsonSampling
2.0,3.4708359356569476,ThompsonSampling
2.0,3.3965426810816512,ThompsonSampling
2.0,2.6564807151996406,ThompsonSampling
2.0,2.324947568910385,ThompsonSampling
3.0,4.0644076153596025,ThompsonSampling
2.0,2.3048613276902543,ThompsonSampling
2.0,2.7126332257420067,ThompsonSampling
2.0,4.03927679712211,ThompsonSampling
2.0,4.753036483503188,ThompsonSampling
2.0,2.2441437991899393,ThompsonSampling
2.0,2.6857686619702794,ThompsonSampling
2.0,3.1984157231304304,ThompsonSampling
2.0,1.9516068758409333,ThompsonSampling
2.0,1.4119800630756076,ThompsonSampling
2.0,2.605940514187323,ThompsonSampling
2.0,2.1007543142596425,ThompsonSampling
2.0,3.17480691078931,ThompsonSampling
2.0,2.7858580458679856,ThompsonSampling
2.0,5.374147043145744,ThompsonSampling
2.0,3.012994263198031,ThompsonSampling
2.0,4.663341315136794,ThompsonSampling
2.0,2.1290107867039074,ThompsonSampling
2.0,2.5128792983500174,ThompsonSampling
2.0,3.279216806571434,ThompsonSampling
2.0,3.5403863996477365,ThompsonSampling
2.0,1.9653518940516155,ThompsonSampling
3.0,3.4839685956857833,ThompsonSampling
2.0,4.27015425288111,ThompsonSampling
3.0,3.3589268253430133,ThompsonSampling
2.0,3.428614797769261,ThompsonSampling
2.0,1.8522151600265335,ThompsonSampling
3.0,3.9137262888554427,ThompsonSampling
2.0,4.83367749506384,ThompsonSampling
0.0,1.1934885810056857,ThompsonSampling
3.0,4.436303284262028,ThompsonSampling
3.0,3.7238238822744445,ThompsonSampling
2.0,3.530510419516387,ThompsonSampling
3.0,3.6918760675262616,ThompsonSampling
3.0,3.555878702306453,ThompsonSampling
3.0,3.789899799104768,ThompsonSampling
3.0,3.9876251625012324,ThompsonSampling
3.0,3.954327090876908,ThompsonSampling
3.0,3.9574668557792574,ThompsonSampling
3.0,3.7707395066250813,ThompsonSampling
3.0,3.4712743199961373,ThompsonSampling
3.0,3.2319269667501933,ThompsonSampling
3.0,4.0193109841939805,ThompsonSampling
3.0,4.709192141472526,ThompsonSampling
3.0,3.942567460069846,ThompsonSampling
3.0,1.922248720246302,ThompsonSampling
3.0,2.959971994890255,ThompsonSampling
3.0,5.656044987473477,ThompsonSampling
3.0,3.11473587930712,ThompsonSampling
3.0,3.765595912457383,ThompsonSampling
3.0,4.812111346694843,ThompsonSampling
3.0,5.333566979563139,ThompsonSampling
3.0,3.430831390129764,ThompsonSampling
3.0,3.0047899763733357,ThompsonSampling
3.0,3.4786906063724032,ThompsonSampling
3.0,3.8768942057421762,ThompsonSampling
3.0,1.7799868968867738,ThompsonSampling
3.0,4.216169673583458,ThompsonSampling
3.0,5.354810909935498,ThompsonSampling
3.0,3.6979164953666404,ThompsonSampling
3.0,4.235343311005692,ThompsonSampling
3.0,2.286896222218899,ThompsonSampling
3.0,4.635445032181126,ThompsonSampling
3.0,4.541849460706748,ThompsonSampling
3.0,3.6562767412333397,ThompsonSampling
3.0,4.30473901800691,ThompsonSampling
3.0,3.6695229936076457,ThompsonSampling
3.0,6.497458034486723,ThompsonSampling
3.0,5.236992651965108,ThompsonSampling
3.0,4.079735724492323,ThompsonSampling
3.0,4.186685928962637,ThompsonSampling
3.0,3.7114613462352986,ThompsonSampling
3.0,4.6318816744580245,ThompsonSampling
3.0,4.539047992954682,ThompsonSampling
3.0,3.7372482634286057,ThompsonSampling
3.0,2.0482571583075413,ThompsonSampling
3.0,4.737112397097945,ThompsonSampling
3.0,5.196177064229159,ThompsonSampling
3.0,1.8390033235630643,ThompsonSampling
3.0,4.095419265098137,ThompsonSampling
3.0,4.017154459585851,ThompsonSampling
3.0,4.609429786563475,ThompsonSampling
3.0,4.240743332201123,ThompsonSampling
3.0,3.0817478068600446,ThompsonSampling
