Bandit,Reward,Algorithm
3.0,3.413191903427502,EpsilonGreedy
3.0,3.4522378429234046,EpsilonGreedy
3.0,3.926975813111894,EpsilonGreedy
3.0,2.38783318150852,EpsilonGreedy
3.0,3.297587677135947,EpsilonGreedy
3.0,5.197501223234722,EpsilonGreedy
3.0,4.851100228590954,EpsilonGreedy
3.0,4.478251897114903,EpsilonGreedy
3.0,4.201437877174976,EpsilonGreedy
3.0,3.611190879066182,EpsilonGreedy
3.0,2.0505260771235028,EpsilonGreedy
3.0,3.482914368608659,EpsilonGreedy
3.0,3.209359292591685,EpsilonGreedy
3.0,4.451164902338051,EpsilonGreedy
3.0,2.8462383668385174,EpsilonGreedy
3.0,3.9123055751192792,EpsilonGreedy
3.0,3.2293077091251634,EpsilonGreedy
3.0,2.4833389252341744,EpsilonGreedy
3.0,3.179526676926834,EpsilonGreedy
3.0,5.642964141035702,EpsilonGreedy
3.0,4.068423291472751,EpsilonGreedy
3.0,4.76159542015754,EpsilonGreedy
3.0,3.907502839317442,EpsilonGreedy
3.0,3.662195740940995,EpsilonGreedy
3.0,3.662799440780452,EpsilonGreedy
3.0,3.369916180413324,EpsilonGreedy
3.0,4.7540852843473935,EpsilonGreedy
3.0,5.384502964037679,EpsilonGreedy
3.0,2.901996896661675,EpsilonGreedy
3.0,2.4983916094668843,EpsilonGreedy
3.0,4.668709611396479,EpsilonGreedy
3.0,2.8265665969018396,EpsilonGreedy
3.0,2.9404989417426517,EpsilonGreedy
3.0,3.8939828362180235,EpsilonGreedy
3.0,3.0232990959954953,EpsilonGreedy
3.0,3.7393057569119033,EpsilonGreedy
3.0,3.6575116733107715,EpsilonGreedy
3.0,3.865202827407982,EpsilonGreedy
3.0,3.721138112931835,EpsilonGreedy
3.0,5.066591471930842,EpsilonGreedy
3.0,5.078422482363621,EpsilonGreedy
3.0,5.500677476241396,EpsilonGreedy
3.0,2.5392969064823068,EpsilonGreedy
3.0,3.6281659677128864,EpsilonGreedy
3.0,4.379378985551673,EpsilonGreedy
3.0,3.5710969086903726,EpsilonGreedy
3.0,3.5689355872517727,EpsilonGreedy
3.0,4.582087617971572,EpsilonGreedy
